subj,events,event_duration,recall,arousal_llm,arousal_discrete,Eg_movie,movie_vis_mot,movie_vis_attn,movie_vis_sal,movie_vis_lim,movie_vis_cont,movie_vis_dmn,movie_vis_sub,movie_mot_attn,movie_mot_sal,movie_mot_lim,movie_mot_cont,movie_mot_dmn,movie_mot_sub,movie_attn_sal,movie_attn_lim,movie_attn_cont,movie_attn_dmn,movie_attn_sub,movie_sal_lim,movie_sal_cont,movie_sal_dmn,movie_sal_sub,movie_lim_cont,movie_lim_dmn,movie_lim_sub,movie_cont_dmn,movie_cont_sub,movie_dmn_sub,movie_attn_attn,movie_cont_cont,movie_dmn_dmn,movie_lim_lim,movie_mot_mot,movie_sal_sal,movie_sub_sub,movie_vis_vis,PC_movie_avg,movie_hippocampus_Melbourne,movie_amygdala_Melbourne,movie_hipa_Melbourne,movie_hippocampus_ISC,movie_amygdala_ISC,recall_accuracy,luminance,envelope
1,11,6,1,0.244466822,-0.215696044,0.465126328,0.435287356,0.427519894,0.419984326,0.367672414,0.411628352,0.412118941,0.450826149,0.460274725,0.448311688,0.496150794,0.462222222,0.484099379,0.463422619,0.453525641,0.385523504,0.539209402,0.466764214,0.416626603,0.440025253,0.485252525,0.481093544,0.445975379,0.454074074,0.519716184,0.453732639,0.500676329,0.452256944,0.45951087,0.565828402,0.505444444,0.490091367,0.510416667,0.456979592,0.428030303,0.422526042,0.520967103,0.294219509,-0.289517751,-0.83461103,0.870544575,-0.825903676,-0.53537277,0.475397289,0.265080001,0.061028478
1,12,14,1,0.598202682,0.402994526,0.491278352,0.499950739,0.538019452,0.468443051,0.416666667,0.440421456,0.442428786,0.386386494,0.533369963,0.481839827,0.441428571,0.455111111,0.451418219,0.399107143,0.513986014,0.438568376,0.580876068,0.501184504,0.388421474,0.483585859,0.473863636,0.484848485,0.428030303,0.484722222,0.490338164,0.468055556,0.566243961,0.478645833,0.477083333,0.673076923,0.638148148,0.519612476,0.452546296,0.46892517,0.470385675,0.43515625,0.594926675,0.359877012,0.370829261,0.031251411,0.392606115,-0.001810313,-0.484261376,0.654111028,0.220569838,0.150314163
1,13,11,1,0.61869475,0.60842773,0.493987941,0.472824302,0.49005305,0.462095089,0.463122605,0.470689655,0.486006997,0.476149425,0.564835165,0.497164502,0.491071429,0.490396825,0.446376812,0.447559524,0.476952214,0.496260684,0.521047009,0.464116499,0.447596154,0.425441919,0.456287879,0.455533597,0.449763258,0.540046296,0.532910628,0.463020833,0.541847826,0.456284722,0.479913949,0.598372781,0.532222222,0.585223693,0.564814815,0.511292517,0.446212121,0.439713542,0.509710662,0.437627041,0.711552966,0.481721278,0.640203187,0.306589953,0.083515632,0.501951396,0.143657463,0.091454919
1,14,21,1,-1.258645695,-1.225284388,0.503082831,0.476108374,0.495247569,0.438349007,0.431034483,0.424425287,0.449712644,0.464439655,0.518864469,0.550757576,0.503968254,0.453333333,0.454296066,0.492113095,0.528846154,0.543536325,0.511858974,0.467321628,0.470953526,0.553030303,0.519570707,0.500988142,0.495028409,0.569907407,0.520531401,0.524305556,0.580978261,0.465625,0.452558877,0.55004931,0.639259259,0.55773472,0.560185185,0.559319728,0.566804408,0.451822917,0.547562426,0.442278074,0.058269749,-0.210386066,0.540377263,0.53627343,0.271488986,0.428354979,0.186972612,0.016493389
1,15,35,0,-0.987124101,-0.616422063,0.510920184,0.443678161,0.542882405,0.429075235,0.49066092,0.459578544,0.480072464,0.454561782,0.542307692,0.628787879,0.529246032,0.480952381,0.453074534,0.438095238,0.506264569,0.507211538,0.545833333,0.491847826,0.413060897,0.474431818,0.493434343,0.47842556,0.466619318,0.490972222,0.481733092,0.442274306,0.596135266,0.399131944,0.439651268,0.618343195,0.617777778,0.568604285,0.481481481,0.746938776,0.540289256,0.5625,0.586405073,0.423948632,-0.534969118,0.185231531,0.966170809,0.223543869,0.367521289,0,0.320107811,0.041866143
1,16,7,0,0.459705951,1.088216432,0.436043641,0.387701149,0.506808134,0.400470219,0.3348659,0.458563218,0.458158421,0.409482759,0.441153846,0.499285714,0.414404762,0.420888889,0.397339545,0.435535714,0.412762238,0.356356838,0.435512821,0.423759755,0.404527244,0.416477273,0.421944444,0.402997365,0.413162879,0.407083333,0.412258454,0.4234375,0.45647343,0.421631944,0.416779891,0.430966469,0.447666667,0.447432262,0.429398148,0.552517007,0.417975207,0.372135417,0.605786762,0.210784719,0.652337658,0.574924587,0.912547244,-0.605161893,-0.351873736,0,0.427171197,0.217146483
1,17,22,0,0.611484058,0.439690941,0.494660494,0.44047619,0.46474359,0.434952978,0.406609195,0.44683908,0.452023988,0.37579023,0.576282051,0.599134199,0.47281746,0.497142857,0.482039337,0.428511905,0.554632867,0.549679487,0.557905983,0.546056299,0.393309295,0.501578283,0.504671717,0.490694993,0.433191288,0.457638889,0.502113527,0.440364583,0.505434783,0.392222222,0.402264493,0.722386588,0.51,0.495510397,0.502314815,0.619727891,0.53822314,0.379166667,0.535275466,0.382458309,0.284712239,-0.428987646,0.467162288,0.071253599,0.359800675,0,0.420711263,0.067795237
1,18,19,0,0.47444039,-0.17141601,0.505015073,0.472577997,0.59504863,0.512931034,0.440373563,0.55651341,0.474450275,0.403376437,0.46978022,0.54978355,0.546230159,0.461031746,0.448188406,0.475,0.505536131,0.447916667,0.604807692,0.514074693,0.401041667,0.507891414,0.480681818,0.457921607,0.456202652,0.437962963,0.44067029,0.500434028,0.548429952,0.433680556,0.44830163,0.654092702,0.558518519,0.535365469,0.467592593,0.616054422,0.543044077,0.47265625,0.642290924,0.399438499,0.153481568,-0.055521527,1.247445293,0.61058864,0.62289128,0,0.64496781,0.104020671
1,19,22,1,0.703695645,0.903381339,0.496876974,0.466338259,0.45015473,0.505485893,0.362308429,0.450574713,0.421101949,0.469181034,0.479945055,0.516883117,0.45297619,0.441031746,0.445238095,0.424404762,0.525495338,0.49866453,0.55491453,0.588001672,0.403445513,0.449179293,0.488005051,0.492177207,0.438494318,0.457407407,0.539704106,0.355034722,0.58647343,0.436666667,0.422192029,0.67357002,0.543888889,0.640674228,0.476851852,0.54585034,0.508264463,0.441536458,0.594728498,0.380320013,-0.217536966,-0.179106828,0.356443644,0.347365418,0.137736331,0.266953647,0.451865617,0.126422874
1,20,57,1,0.106874245,-0.213388655,0.49605656,0.41001642,0.469274978,0.384012539,0.394875479,0.382375479,0.414355322,0.374820402,0.538095238,0.606709957,0.388888889,0.403174603,0.392028986,0.392559524,0.512092075,0.476495726,0.539636752,0.489339465,0.421754808,0.419823232,0.487247475,0.460391963,0.417945076,0.578703704,0.58227657,0.46328125,0.655736715,0.462256944,0.463564312,0.568293886,0.678888889,0.649889729,0.523148148,0.677823129,0.561639118,0.409635417,0.785969084,0.254327209,0.234169976,0.281548179,0.427193084,0.102459005,-0.051236052,0.301064014,0.322924597,0.088160423
